STT,Code,Name,Note,SL BÁN 3 THÁNG,SL BÁN 6 THÁNG,TỒN KHO,BQ BÁN/NGÀY,NGÀY TỒN,Order Forecast
241.0,8809399370860-01,VM11-01 - MIẾNG DÁN KÍCH MÍ (HỘP VUÔNG) SIZE S (Vacosi Eyelid Tape),Bỏ mẫu,43.0,43.0,2852.0,0.2388888888888889,11938.60465116279,
242.0,8809399370860-02,VM11-02 - MIẾNG DÁN KÍCH MÍ (HỘP VUÔNG) SIZE L (Vacosi Eyelid Tape),Bỏ mẫu,34.0,34.0,1867.0,0.18888888888888888,9884.117647058823,
243.0,6970758092890,"VM27-EL04 - MIẾNG KÍCH MÍ TÀNG HÌNH VACOSI, LINH HOẠT (Vacosi Double Eyelid Tape EL04)",Bỏ mẫu,53.0,53.0,1267.0,0.29444444444444445,4303.018867924528,
244.0,6970758092906,"VM27-EL03 - MIẾNG KÍCH MÍ TÀNG HÌNH VACOSI, NÂNG MÍ (Vacosi Double Eyelid Tape EL03)",Bỏ mẫu,97.0,97.0,598.0,0.5388888888888889,1109.6907216494847,
245.0,6970758092913,"VM27-EL02 MIẾNG KÍCH MÍ TÀNG HÌNH VACOSI, MẢNH (Vacosi Double Eyelid Tape EL02)",Bỏ mẫu,13.0,13.0,109.0,0.07222222222222222,1509.2307692307693,
246.0,6970758092920,"VM27-EL01 MIẾNG KÍCH MÍ TÀNG HÌNH VACOSI, NGẮN (Vacosi Double Eyelid Tape EL01)",Bỏ mẫu,3.0,3.0,82.0,0.016666666666666666,4920.0,
247.0,6970758099042,"DC12-FL - MIẾNG RỬA MẶT SILICONE VACOSI ĐA NĂNG (Vacosi Silicone Face Cleanser, Large Fuschia)",,33.0,33.0,3730.0,0.18333333333333332,20345.454545454548,
248.0,6970758099059,"DC12-HL - MIẾNG RỬA MẶT SILICONE VACOSI ĐA NĂNG, LỚN (Vacosi Silicone Face Cleanser, Large Pink)",,28.0,28.0,4701.0,0.15555555555555556,30220.714285714286,
249.0,6970758099066,"DC12-HN - MIẾNG RỬA MẶT SILICONE VACOSI ĐA NĂNG, NHỎ (Vacosi Silicone Face Cleanser, Small Pink)",,131.0,131.0,5774.0,0.7277777777777777,7933.740458015268,
250.0,6970758099073,"DC12-XN - MIẾNG RỬA MẶT SILICONE VACOSI ĐA NĂNG, NHỎ (Vacosi Silicone Face Cleanser, Small Blue)",,44.0,44.0,8630.0,0.24444444444444444,35304.545454545456,
251.0,8809399376015,VMP03 - KEM LÀM SÁNG VÙNG DA DƯỚI CÁNH TAY (Vacosi Whitening Armpit Cream 30ml),Bỏ mẫu,41.0,41.0,8417.0,0.22777777777777777,36952.68292682927,
252.0,2200682000000-05,VACOSI POINTED TWEEZERS (T05 - Nhíp nối mi thẳng),,1.0,1.0,60.0,0.005555555555555556,10800.0,
253.0,2200682000000-06,VACOSI POINTED TWEEZERS (T06 - Nhíp nối mi thẳng (đen)),,2.0,2.0,44.0,0.011111111111111112,3960.0,
254.0,2200685000007-03,VACOSI FOOT PEELING (P04 - Chà gót chân),,609.0,609.0,130.0,3.3833333333333333,38.423645320197046,479.0
255.0,2200699000000,RC01 - DỤNG CỤ RỬA CỌ BRUSHEGG (Vacosi Brushegg),,0.0,0.0,1.0,,,
256.0,2200709000006-01,VP06 - PHẤN MẮT 3 MÀU (HỘP TRÒN) (Vacosi Natural Studio Trio Eyeshadow 5G) số 01,,0.0,0.0,1121.0,,,
